epi_week,STR,CTN,SD,HIc,HId,PCTc,PCTd,DSTc,DSTd
9,0,0,34.44764069,94.18,NaN,0.0000404,0,NA,NA
10,0,0,31.32359762,89.1,NaN,0.000323,0,NA,NA
11,1,0,32.0782492,80.04,NaN,0.00226,0,NA,NA
12,21,8,39.27739057,68.47,93.78,0.018622,0.0081,NA,NA
13,43,14,54.23043399,64.89,87.71,0.0524765,0.0546618,10.93243137,51.61333081
14,45,17,49.80017919,59.05,70.15,0.1311005,0.2321438,27.32051406,99.46143496
15,47,17,48.6596653,54.31,67.41,0.2136991,0.471036,100,100
16,47,17,46.20027176,53.54,64.6,0.3231916,0.8293743,58.48314742,37.81624867
17,49,17,46.79867347,54.21,64.49,0.4302832,1.1424985,70.71216739,20.93444322
18,51,17,45.44666026,50.71,62.43,0.7829916,1.8402797,29.62567163,58.96195714
19,53,17,43.74931289,50.32,61.37,1.1942291,2.6264644,85.94193116,33.04025822
20,54,17,44.18373174,47.27,59.92,1.5481278,3.3701344,15.32391171,35.45282574
21,55,17,43.9360081,46.76,57.7,2.3130219,4.3688927,4.237616854,15.24987164
22,54,17,43.19938362,44.92,54.66,3.0476124,4.5119581,8.660372617,23.32771871
23,54,17,41.27366705,41.49,51.79,3.4696438,4.7967392,19.50776057,9.552705943
24,54,17,40.62181195,39.95,49.26,3.4981316,4.5382767,11.54247442,10.59747633
25,53,17,39.42896227,37.21,45.47,4.4067965,4.9269827,26.80015088,75.35914836
26,53,17,40.14056561,35.28,42.32,4.9341643,4.7204826,24.41084005,10.93639214
27,53,17,40.94031231,33.3,40.39,5.1770573,4.8621983,26.26043655,4.437152826
28,53,17,40.88843468,33.52,37.86,5.2960121,4.8007882,31.64256569,28.37937938
29,51,17,40.44474338,31.99,37.24,4.6613711,4.884468,0.276128873,24.97304487
30,51,17,40.31168958,31.95,35.7,6.3761487,5.06195,34.60925804,29.66370616
31,52,10,40.3117265,31.91,38,6.2573351,4.7947147,6.379189399,9.67377426
32,51,0,38.19724057,31.18,36.79,6.1066845,4.7211575,18.28385902,8.140077924
33,49,0,38.3359531,30.98,37.59,5.8753924,4.4336771,20.93248448,11.94165295
34,48,0,39.43626269,31.09,36.9,5.1099334,4.5942882,7.639868972,2.765214745
35,46,0,38.39323143,32.46,39.16,4.9367871,3.7925822,0,0
36,44,0,37.16895903,35.85,39.25,5.5252867,4.0402473,64.35777221,34.29659332
37,44,0,38.30231596,34.1,41.78,3.655541,3.1791556,34.01211248,21.0235046
38,43,0,36.96992187,33.55,40.2,4.1633991,3.4868812,2.946844855,3.03195225
39,41,0,36.60388852,33.23,42.9,3.6534629,3.1724073,6.614781981,15.87853761
40,39,0,35.96382485,35.96,41.85,3.5396125,3.0117961,15.00543064,16.61163602
41,37,0,35.84582055,33.69,43.56,3.2992616,2.7256654,49.39947358,24.70651185