epi_week,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,6,0
12,23,17,21,17,26,22,44,22,50,18,14,9,11,23,14,40,27,23,47,26,25,36,14,43,28,30,15
13,55,62,51,53,38,65,54,55,67,52,47,25,33,45,45,52,50,47,54,65,63,62,33,60,50,42,47
14,52,57,52,56,38,71,53,55,67,54,47,27,52,45,45,52,57,47,58,65,63,65,53,60,53,47,47
15,52,52,46,60,38,72,53,52,67,59,47,27,54,51,45,52,58,47,56,65,58,65,65,54,53,47,47
16,54,52,45,60,38,72,53,52,67,65,47,27,54,56,45,52,58,47,55,65,58,65,58,60,55,47,24
17,58,52,45,60,38,72,53,58,53,59,47,27,36,58,45,54,58,47,58,65,58,65,55,55,55,47,31
18,58,52,45,60,38,72,53,58,53,59,48,27,23,58,45,54,58,47,58,65,55,65,59,53,55,47,40
19,53,52,45,60,38,68,53,55,53,65,49,27,23,63,45,54,58,47,58,65,56,65,68,53,58,47,45
20,50,52,49,60,38,78,53,55,53,65,49,27,23,65,46,52,61,47,58,65,59,65,48,53,58,47,48
21,38,49,52,71,38,78,50,55,53,65,49,27,23,61,52,52,60,47,58,65,65,65,48,53,58,47,52
22,38,45,52,75,38,78,40,55,53,65,49,27,23,61,53,52,59,47,58,65,65,65,54,53,58,47,33
23,38,56,46,66,38,69,40,58,53,62,49,27,23,59,64,52,59,47,52,69,64,65,55,48,58,52,33
24,38,58,45,59,38,62,45,58,53,62,49,27,21,58,58,52,58,47,58,75,61,65,55,47,58,53,33
25,38,58,45,58,38,62,40,58,53,62,49,27,21,58,38,52,59,47,58,75,58,65,46,47,54,53,33
26,38,55,45,58,38,62,40,58,53,62,49,27,26,58,38,46,60,47,58,75,55,65,45,47,55,53,33
27,38,36,45,63,38,65,31,56,65,58,57,27,26,58,38,45,61,49,58,64,55,65,47,47,41,53,33
28,30,52,45,65,38,65,28,42,67,55,63,50,26,58,38,45,59,50,54,55,55,65,48,35,38,58,33
29,30,52,45,65,38,65,45,42,32,55,63,27,26,46,31,45,59,50,52,55,55,65,48,43,41,55,33
30,38,52,45,65,38,65,45,42,27,55,63,35,26,42,30,45,60,50,52,55,55,65,48,37,42,45,33
31,38,52,45,65,38,65,45,42,27,55,63,42,47,40,31,45,58,50,52,51,61,65,48,47,42,45,33
32,25,52,45,65,38,65,45,43,27,53,63,40,48,35,35,45,52,50,37,39,65,65,48,47,42,44,33
33,25,47,39,65,38,65,45,38,27,55,63,40,48,35,35,43,40,50,32,33,64,65,48,47,42,40,33
34,25,45,38,65,38,65,45,37,27,55,63,40,36,35,35,38,27,50,32,28,62,65,48,47,32,40,33
35,25,45,38,65,37,64,45,30,27,49,59,42,20,32,35,38,25,50,32,28,62,65,48,43,32,36,33
36,25,45,38,65,37,55,45,30,27,35,36,49,20,19,35,38,25,50,31,28,62,65,46,27,32,27,33
37,25,45,38,65,37,55,45,30,32,35,36,51,20,15,35,38,25,50,25,28,62,65,43,27,32,27,33
38,25,45,38,42,37,55,45,30,40,35,33,47,20,15,35,36,25,50,26,28,62,65,42,29,32,27,33
39,25,45,30,25,37,50,45,27,40,35,9,46,20,15,31,32,25,50,28,28,62,65,51,33,32,27,33
40,25,29,18,25,37,40,45,26,40,27,8,40,20,15,22,20,25,50,28,28,62,65,45,30,32,27,30
41,25,25,18,25,37,32,45,12,40,18,3,40,23,15,22,18,25,48,28,28,62,65,42,27,32,27,27